Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
3,36,1763003608.465733,1763003611.800395,46,1763003609.916146,69,1763003610.766661,0.85,-,-,-,-,-,-,-,-,-,-
3,37,1763003624.609966,1763003628.179167,45,1763003626.016012,68,1763003626.878248,0.86,-,-,-,-,-,-,-,-,-,-
3,38,1763003642.023169,1763003645.224964,45,1763003643.415868,68,1763003644.291111,0.88,-,-,-,-,-,-,-,-,-,-
3,39,1763003773.617513,1763003776.852628,45,1763003774.964775,68,1763003775.885423,0.92,-,-,-,-,-,-,-,-,-,-
3,40,1763003784.960948,1763003790.02948,44,1763003786.36468,66,1763003787.161771,0.8,85.7,75.94,32.1,25.5,25.3,L 1.4,-1.1,4624,161,R 0.9
3,41,1763003851.374835,1763003854.609207,45,1763003852.814128,68,1763003853.6422,0.83,89.93,80.27,32.5,25.7,29.4,R 7.2,6.9,5798,482,R 23.4
3,42,1763003873.188788,1763003878.058949,45,1763003874.613947,67,1763003875.457094,0.84,92.84,82.79,33.6,26.3,26.4,R 2.5,2.5,5382,330,R 12.1
3,43,1763003892.769706,1763003895.871907,42,1763003894.063785,64,1763003894.904562,0.84,81.14,72.34,30.6,24.4,29.2,R 5.6,5.7,5105,453,R 17.5
3,44,1763003910.248277,1763003915.252767,45,1763003911.663639,68,1763003912.516123,0.85,96.78,87.43,34.9,27.3,27.7,R 0.6,0.6,6102,150,R 5.0
3,45,1763003926.729523,1763003932.598646,46,1763003928.163502,69,1763003929.030546,0.87,92.65,80.46,33.8,23.5,21.6,L 0.7,-0.9,4325,-10,L 1.4
3,46,1763003945.140688,1763003949.813302,46,1763003946.613348,69,1763003947.475778,0.86,83.77,73.13,31.5,24,24.3,R 0.2,0.4,4346,195,R 4.0
3,47,1763003965.387851,1763003969.62483,42,1763003966.663182,64,1763003967.52375,0.86,89.76,79.37,33,25.2,24.7,R 0.3,0.5,4740,154,R 3.8
3,48,1763003983.303357,1763003988.705551,44,1763003984.663032,67,1763003985.537583,0.87,95.09,84.36,34.5,26.1,23.3,R 0.5,0.3,4782,122,R 3.7
3,49,1763004001.183886,1763004004.517692,46,1763004002.612883,69,1763004003.484234,0.87,96.54,86.97,34.1,27.4,31.7,R 8.9,8.4,6656,476,R 29.4
3,50,1763004020.661621,1763004025.565129,46,1763004022.112721,70,1763004022.996636,0.88,91.77,82.13,33.6,25.8,25.3,R 2.8,2.2,5083,72,R 7.1
3,51,1763004038.609712,1763004041.877592,46,1763004040.012572,69,1763004040.910583,0.9,81.45,70.24,30.8,20.5,24.1,R 4.0,3.7,4283,177,R 9.2
3,52,1763004065.627132,1763004070.898056,46,1763004067.062347,69,1763004067.927888,0.87,80.14,68.71,30.7,22.4,22.8,R 1.5,1.3,4191,126,R 4.3
3,53,1763004084.941222,1763004090.411891,44,1763004086.262187,65,1763004087.142841,0.88,96.55,87.35,34.8,30.8,27.5,R 4.1,3.7,6039,175,R 12.2
4,1,1758868501.834993,1758868505.971832,61,1758868503.659857,92,1758868504.904229,1.24,73.02,61.59,31.3,27,16.7,L 0.2,-0.1,4118,127,R 1.5
4,2,1758868526.123015,1758868530.191875,54,1758868527.617014,82,1758868528.857832,1.24,92.57,81.33,24.13,25.3,21.2,R 0.9,-0.7,4312,93,R 3.8
4,3,1758868577.132168,1758868580.069662,11,1758868576.431596,17,1758868577.699322,1.27,100.13,86.54,36.1,26.13,18.6,L 1.3,-1.7,4451,-125,L 4.4
